sentence_id,prompt_ru,answer_en,transcription,audio_filename
20,Я должен улучшить свой английский,I must improve my English,[aɪ mʌst ɪmˈpru:v maɪ ˈɪŋglɪʃ],A2_L145_S20.mp3
21,Он также может говорить по-испански,He can also speak Spanish,[hi: kæn ˈɔ:lsəʊ spi:k ˈspænɪʃ],A2_L145_S21.mp3
22,Могу я войти?,May I come in?,[meɪ aɪ kʌm ɪn?],A2_L145_S22.mp3
23,Ты можешь сказать это?,Could you say it?,[kʊd ju: seɪ ɪt?],A2_L145_S23.mp3
24,Мне пришлось это сделать,I had to do it,[aɪ hæd tu: du: ɪt],A2_L145_S24.mp3
25,Это не может быть правильно,It can't be right,[ɪt kɑ:nt bi: raɪt],A2_L145_S25.mp3
26,Мне придется это сделать,I will have to do it,[aɪ wɪl hæv tu: du: ɪt],A2_L145_S26.mp3
27,Он не может поверить своим глазам,He can't believe his eyes,[hi: kɑ:nt bɪˈli:v hɪz aɪz],A2_L145_S27.mp3
28,Каждый день мне приходится вставать очень рано,I have to get up very early every day,[aɪ hæv tu: get ʌp ˈveri ˈɜ:li ˈevri deɪ],A2_L145_S28.mp3
29,Я хотел бы забронировать это заранее,I would like to book it in advance,[aɪ wʊd laɪk tu: bʊk ɪt ɪn ədˈvɑ:ns],A2_L145_S29.mp3
30,Ему может не понравиться эта идея,He might not like this idea,[hi: maɪt nɒt laɪk ðɪs aɪˈdɪə],A2_L145_S30.mp3
31,Тебе нужно быть намного осторожнее,You need to be much more careful,[ju: ni:d tu: bi: mʌʧ mɔ: ˈkeəfəl],A2_L145_S31.mp3
32,Я не могу поверить своим ушам,I can't believe my ears,[aɪ kɑ:nt bɪˈli:v maɪ ɪəz],A2_L145_S32.mp3
33,Это может не случиться,It might not happen,[ɪt maɪt nɒt ˈhæpən],A2_L145_S33.mp3
34,Она может говорить на трех иностранных языках,She can speak three foreign languages,[ʃi: kæn spi:k θri: ˈfɒrɪn ˈlæŋgwɪʤɪz],A2_L145_S34.mp3
35,Что бы ты мог посоветовать?,What could you recommend?,[wɒt kʊd ju: ˌrekəˈmend?],A2_L145_S35.mp3
36,Ты не должен курить здесь,You mustn't smoke here,[ju: ˈmʌsnt sməʊk hɪə],A2_L145_S36.mp3
37,Он должен носить школьную форму,He has to wear a school uniform,[hi: hæz tu: weər ə sku:l ˈju:nɪfɔ:m],A2_L145_S37.mp3
38,Любой может сделать ошибку,Anyone can make a mistake,[ˈenɪwʌn kæn meɪk ə mɪsˈteɪk],A2_L145_S38.mp3
39,Я хотел бы посмотреть эту программу сегодня вечером,I would like to watch this programme tonight,[aɪ wʊd laɪk tu: wɒʧ ðɪs ˈprəʊgræm təˈnaɪt],A2_L145_S39.mp3
40,Мне нужно как-то это сделать,I need to do it somehow,[aɪ ni:d tu: du: ɪt ˈsʌmhaʊ],A2_L145_S40.mp3
41,Я могу сделать это завтра,I can do it tomorrow,[aɪ kæn du: ɪt təˈmɒrəʊ],A2_L145_S41.mp3
42,"Он мог очень хорошо плавать, когда он был подростком",He could swim very well when he was a teenager,[hi: kʊd swɪm ˈveri wel wen hi: wɒz ə ˈti:nˌeɪʤə],A2_L145_S42.mp3
43,Я смогу сделать это завтра,I will be able to do it tomorrow,[aɪ wɪl bi: ˈeɪbl tu: du: ɪt təˈmɒrəʊ],A2_L145_S43.mp3
44,"Он, должно быть, очень устал",He must be very tired,[hi: mʌst bi: ˈveri ˈtaɪəd],A2_L145_S44.mp3
45,Он сможет нам помочь,He will be able to help us,[hi: wɪl bi: ˈeɪbl tu: help ʌs],A2_L145_S45.mp3
46,Они должны это контролировать,They ought to control it,[ðeɪ ɔ:t tu: kənˈtrəʊl ɪt],A2_L145_S46.mp3
47,Как ты можешь это объяснить?,How can you explain it?,[haʊ kæn ju: ɪksˈpleɪn ɪt?],A2_L145_S47.mp3
48,"Он, должно быть очень умен, если он может понимать это так быстро",He must be very clever if he can understand it so quickly,[hi: mʌst bi: ˈveri ˈklevər ɪf hi: kæn ˌʌndəˈstænd ɪt səʊ ˈkwɪkli],A2_L145_S48.mp3
49,Мне не нужно вставать так рано сегодня,I don't have to get up so early today,[aɪ dəʊnt hæv tu: get ʌp səʊ ˈɜ:li təˈdeɪ],A2_L145_S49.mp3
50,"Ей следует есть меньше шоколада, если она хочет сбросить вес",She should eat less chocolate if she wants to lose weight,[ʃi: ʃʊd i:t les ˈʧɒkəlɪt ɪf ʃi: wɒnts tu: lu:z weɪt],A2_L145_S50.mp3
51,Тебе следует попробовать сделать это еще раз,You should try to do it one more time,[ju: ʃʊd traɪ tu: du: ɪt wʌn mɔ: taɪm],A2_L145_S51.mp3
52,Что бы ты сделал на его месте?,What would you do in his place?,[wɒt wʊd ju: du: ɪn hɪz pleɪs?],A2_L145_S52.mp3
53,Ты можешь позвонить мне на мой мобильный?,Can you call me on my mobile?,[kæn ju: kɔ:l mi: ɒn maɪ ˈməʊbaɪl?],A2_L145_S53.mp3
54,Когда он сможет прийти к нам?,When will he be able to come to us?,[wen wɪl hi: bi: ˈeɪbl tu: kʌm tu: ʌs?],A2_L145_S54.mp3
55,"Мне пришлось это сделать, потому что у меня не было никакого выбора",I had to do it because I didn't have any choice,[aɪ hæd tu: du: ɪt bɪˈkɒz aɪ dɪdnt hæv ˈeni ʧɔɪs],A2_L145_S55.mp3
56,"Ему пришлось пойти к врачу на прошлой неделе , потому что он был болен",He had to go to the doctor last week because he was ill,[hi: hæd tu: gəʊ tu: ðə ˈdɒktə lɑ:st wi:k bɪˈkɒz hi: wɒz ɪl],A2_L145_S56.mp3
57,Мне нет необходимости тратить так много времени на это,I don't have to spend so much time on it,[aɪ dəʊnt hæv tu: spend səʊ mʌʧ taɪm ɒn ɪt],A2_L145_S57.mp3
58,"Я думаю, тебе не следует покупать это в кредит",I think you shouldn't buy it on credit,[aɪ θɪŋk ju: ʃʊdnt baɪ ɪt ɒn ˈkredɪt],A2_L145_S58.mp3
59,"Я уверен, что скоро я смогу достичь следующего уровня",I'm sure that I will be able to reach the next level soon,[aɪm ʃʊə ðæt aɪ wɪl bi: ˈeɪbl tu: ri:ʧ ðə nekst ˈlevl su:n],A2_L145_S59.mp3
60,"Я думаю, они должны что-то сделать, чтобы изменить эту ситуацию",I think they ought to do something to change this situation,[aɪ θɪŋk ðeɪ ɔ:t tu: du: ˈsʌmθɪŋ tu: ʧeɪnʤ ðɪs ˌsɪtjʊˈeɪʃən],A2_L145_S60.mp3
61,"Я думаю, тебе не следует так часто ходить в бар",I think you shouldn't go to the bar so often,[aɪ θɪŋk ju: ʃʊdnt gəʊ tu: ðə bɑ: səʊ ˈɒfn],A2_L145_S61.mp3
62,Мне нужно закончить эту статью до завтра,I need to finish this article till tomorrow,[aɪ ni:d tu: ˈfɪnɪʃ ðɪs ˈɑ:tɪkl tɪl təˈmɒrəʊ],A2_L145_S62.mp3
63,"Она знает, что ей придется сделать это рано или поздно",She knows that she will have to do it sooner or later,[ʃi: nəʊz ðæt ʃi: wɪl hæv tu: du: ɪt ˈsu:nər ɔ: ˈleɪtə],A2_L145_S63.mp3
64,Тебе придется сделать это рано или поздно,You will have to do it sooner or later,[ju: wɪl hæv tu: du: ɪt ˈsu:nər ɔ: ˈleɪtə],A2_L145_S64.mp3
65,"Она знает, что ей нужно сделать это позже",She knows that she needs to do it later,[ʃi: nəʊz ðæt ʃi: ni:dz tu: du: ɪt ˈleɪtə],A2_L145_S65.mp3
66,"Мне нужно взять зонт, потому что сегодня может идти дождь",I need to take an umbrella because it can rain today,[aɪ ni:d tu: teɪk ən ʌmˈbrelə bɪˈkɒz ɪt kæn reɪn təˈdeɪ],A2_L145_S66.mp3
67,"Возьми этот зонт, сегодня может пойти дождь","Take this umbrella, it might rain today","[teɪk ðɪs ʌmˈbrelə, ɪt maɪt reɪn təˈdeɪ]",A2_L145_S67.mp3
68,Сегодня может идти дождь,It can rain today,[ɪt kæn reɪn təˈdeɪ],A2_L145_S68.mp3
69,Тебе не нужно делать это снова,You don't need to do it again,[ju: dəʊnt ni:d tu: du: ɪt əˈgen],A2_L145_S69.mp3
70,Сделай это снова,Do it again,[du: ɪt əˈgen],A2_L145_S70.mp3
71,Ей пришлось сделать это снова,She had to do it again,[ʃi: hæd tu: du: ɪt əˈgen],A2_L145_S71.mp3
72,Что мы можем сделать в этой ситуации?,What can we do in this situation?,[wɒt kæn wi: du: ɪn ðɪs ˌsɪtjʊˈeɪʃən?],A2_L145_S72.mp3
73,"Это плохая ситуация …………….…................................................... 74. Он не знал, что делать в такой ситуации …………….…................................................... 75. Ты хотел бы немного чаю? …………….…................................................... 76. Можно мне немного чаю? …………….…................................................... 77. Не хотел бы ты что-нибудь съесть? …………….…................................................... 78. Я боюсь, цена может возрасти …………….…................................................... 79. Цена на эту обувь высокая …………….…................................................... 80. Они снизили цену …………….…................................................... 81. Ему нужно пойти в туалет …………….…................................................... 82. Могу я пойти в туалет? …………….…................................................... 83. Туалет был сломан …………….…................................................... 84. Я могу позвонить тебе на мобильный …………….…................................................... 85. Она не могла найти свой мобильный, поэтому я позвонил ей …………….…................................................... 8 86. Он может потерять там свой мобильный …………….…................................................... 87. Я знаю, что я должен улучшить свое произношение …………….…................................................... 88. Она значительно улучшила свое произношение …………….…................................................... 89. Его произношение было плохим …………….…................................................... 90. Тебе не следует беспокоиться об этом так сильно …………….…................................................... 91. Я беспокоюсь об этом …………….…................................................... 92. Эта ситуация волновала ее так сильно …………….…................................................... 93. Мне нужно учиться гораздо усерднее, чтобы сдать этот экзамен …………….…................................................... 94. Когда ты сможешь прийти ко мне? …………….…................................................... 95. Тебе следует взять зонт на случай, если пойдет дождь …………….…................................................... 96. Я должен учиться гораздо усерднее, чтобы поступить в этот университет …………….…................................................... 97. Он должен будет сделать это в любом случае …………….…................................................... 98. На скольких языках ты разговариваешь? …………….…................................................... 9 99. Я знаю, что мне придется это сделать …………….…................................................... 100. Я думаю, ты не должен этого делать …………….…................................................... 101. Он говорит, что цена может снизиться, но я думаю, что нет …………….…................................................... 102. Ты хотел бы немного кофе? …………….…................................................... 103. Я думаю, что она не сможет этого сделать …………….…................................................... 104. Завтра может пойти снег …………….…................................................... 105. Сегодня может пойти дождь …………….…................................................... 106. Он не сможет этого сделать …………….…................................................... 107. Мне придется сделать это снова …………….…................................................... 10 Ответы 1. Она может помочь нам",She can help us,[ʃi: kæn help ʌs],A2_L145_S73.mp3
74,"Он не знал, что делать в такой ситуации",He didn't know what to do in such a situation,[hi: dɪdnt nəʊ wɒt tu: du: ɪn sʌʧ ə ˌsɪtjʊˈeɪʃən],A2_L145_S74.mp3
75,Ты хотел бы немного чаю?,Would you like some tea?,[wʊd ju: laɪk sʌm ti:?],A2_L145_S75.mp3
76,Можно мне немного чаю?,Can I have some tea?,[kæn aɪ hæv sʌm ti:?],A2_L145_S76.mp3
77,Не хотел бы ты что-нибудь съесть?,Would you like to eat something?,[wʊd ju: laɪk tu: i:t ˈsʌmθɪŋ?],A2_L145_S77.mp3
78,"Я боюсь, цена может возрасти",I'm afraid the price can go up,[aɪm əˈfreɪd ðə praɪs kæn gəʊ ʌp],A2_L145_S78.mp3
79,Цена на эту обувь высокая,The price of these shoes is high,[ðə praɪs ɒv ði:z ʃu:z ɪz haɪ],A2_L145_S79.mp3
80,Они снизили цену,They lowered the price,[ðeɪ ˈləʊəd ðə praɪs],A2_L145_S80.mp3
81,Ему нужно пойти в туалет,He needs to go to the toilet,[hi: ni:dz tu: gəʊ tu: ðə ˈtɔɪlɪt],A2_L145_S81.mp3
82,Могу я пойти в туалет?,Can I go to the toilet?,[kæn aɪ gəʊ tu: ðə ˈtɔɪlɪt?],A2_L145_S82.mp3
83,Туалет был сломан,The toilet was broken,[ðə ˈtɔɪlɪt wɒz ˈbrəʊkən],A2_L145_S83.mp3
84,Я могу позвонить тебе на мобильный,I can call you on your mobile,[aɪ kæn kɔ:l ju: ɒn jɔ: ˈməʊbaɪl],A2_L145_S84.mp3
85,"Она не могла найти свой мобильный, поэтому я позвонил ей",She couldn't find her mobile so I called her,[ʃi: ˈkʊdnt faɪnd hɜ: ˈməʊbaɪl səʊ aɪ kɔ:ld hɜ:],A2_L145_S85.mp3
86,Он может потерять там свой мобильный,He can lose his mobile there,[hi: kæn lu:z hɪz ˈməʊbaɪl ðeə],A2_L145_S86.mp3
87,"Я знаю, что я должен улучшить свое произношение",I know that I must improve my pronunciation,[aɪ nəʊ ðæt aɪ mʌst ɪmˈpru:v maɪ prəˌnʌnsɪˈeɪʃən],A2_L145_S87.mp3
88,Она значительно улучшила свое произношение,She improved her pronunciation a lot,[ʃi: ɪmˈpru:vd hɜ: prəˌnʌnsɪˈeɪʃən ə lɒt],A2_L145_S88.mp3
89,Его произношение было плохим,His pronunciation was bad,[hɪz prəˌnʌnsɪˈeɪʃən wɒz bæd],A2_L145_S89.mp3
90,Тебе не следует беспокоиться об этом так сильно,You shouldn't worry about it so much,[ju: ʃʊdnt ˈwʌri əˈbaʊt ɪt səʊ mʌʧ],A2_L145_S90.mp3
91,Я беспокоюсь об этом,I'm worried about it,[aɪm ˈwʌrid əˈbaʊt ɪt],A2_L145_S91.mp3
92,Эта ситуация волновала ее так сильно,This situation worried her so much,[ðɪs ˌsɪtjʊˈeɪʃən ˈwʌrid hɜ: səʊ mʌʧ],A2_L145_S92.mp3
93,"Мне нужно учиться гораздо усерднее, чтобы сдать этот экзамен",I need to study much harder to pass this exam,[aɪ ni:d tu: ˈstʌdi mʌʧ ˈhɑ:də tu: pɑ:s ðɪs ɪgˈzæm],A2_L145_S93.mp3
94,Когда ты сможешь прийти ко мне?,When will you be able to come to me?,[wen wɪl ju: bi: ˈeɪbl tu: kʌm tu: mi:?],A2_L145_S94.mp3
95,"Тебе следует взять зонт на случай, если пойдет дождь",You should take an umbrella in case it rains,[ju: ʃʊd teɪk ən ʌmˈbrelə ɪn keɪs ɪt reɪnz],A2_L145_S95.mp3
96,"Я должен учиться гораздо усерднее, чтобы поступить в этот университет",I must study much harder to enter this university,[aɪ mʌst ˈstʌdi mʌʧ ˈhɑ:də tu: ˈentə ðɪs ˌju:nɪˈvɜ:sɪti],A2_L145_S96.mp3
97,Он должен будет сделать это в любом случае,He will have to do it in any case,[hi: wɪl hæv tu: du: ɪt ɪn ˈeni keɪs],A2_L145_S97.mp3
98,На скольких языках ты разговариваешь?,How many languages do you speak?,[haʊ ˈmeni ˈlæŋgwɪʤɪz du: ju: spi:k?],A2_L145_S98.mp3
99,"Я знаю, что мне придется это сделать",I know that I will have to do it,[aɪ nəʊ ðæt aɪ wɪl hæv tu: du: ɪt],A2_L145_S99.mp3
100,"Я думаю, ты не должен этого делать",I think you shouldn't do it,[aɪ θɪŋk ju: ʃʊdnt du: ɪt],A2_L145_S100.mp3
101,"Он говорит, что цена может снизиться, но я думаю, что нет",He says that the price can go down but I think that it won’t,[hi: sez ðæt ðə praɪs kæn gəʊ daʊn bʌt aɪ θɪŋk ðæt ɪt wəʊnt],A2_L145_S101.mp3
102,Ты хотел бы немного кофе?,Would you like some coffee?,[wʊd ju: laɪk sʌm ˈkɒfi?],A2_L145_S102.mp3
103,"Я думаю, что она не сможет этого сделать",I think she won't be able to do it,[aɪ θɪŋk ʃi: wəʊnt bi: ˈeɪbl tu: du: ɪt],A2_L145_S103.mp3
104,Завтра может пойти снег,It may snow tomorrow,[ɪt meɪ snəʊ təˈmɒrəʊ],A2_L145_S104.mp3
105,Сегодня может пойти дождь,It might rain today,[ɪt maɪt reɪn təˈdeɪ],A2_L145_S105.mp3
106,Он не сможет этого сделать,He won't be able to do it,[hi: wəʊnt bi: ˈeɪbl tu: du: ɪt],A2_L145_S106.mp3
107,Мне придется сделать это снова,I will have to do it again,[aɪ wɪl hæv tu: du: ɪt əˈgen],A2_L145_S107.mp3
